c1_id,c1_code,c1_name,c1_domain,c1_class,c2_id,c2_code,c2_name,c2_domain,c2_class
35804532,11351,"Cisplatin and Fluorouracil (CF) and Hydroxyurea, RT",Regimen,Regimen,42542152,579,Cervical cancer,Condition,Condition
35804533,11352,Cisplatin and Gemcitabine (GC) and RT,Regimen,Regimen,42542152,579,Cervical cancer,Condition,Condition
35804534,11359,Fluorouracil and RT,Regimen,Regimen,42542152,579,Cervical cancer,Condition,Condition
35804534,11359,Fluorouracil and RT,Regimen,Regimen,42542171,601,Gastric cancer,Condition,Condition
35804534,11359,Fluorouracil and RT,Regimen,Regimen,42542178,608,Head and neck cancer,Condition,Condition
35804534,11359,Fluorouracil and RT,Regimen,Regimen,42542217,648,Pancreatic cancer,Condition,Condition
35804534,11359,Fluorouracil and RT,Regimen,Regimen,42542228,659,Rectal cancer,Condition,Condition
35804535,11366,Hydroxyurea and RT,Regimen,Regimen,42542152,579,Cervical cancer,Condition,Condition
35804536,11386,Carboplatin and Ifosfamide,Regimen,Regimen,42542152,579,Cervical cancer,Condition,Condition
35804537,11393,Carboplatin monotherapy,Regimen,Regimen,42542145,572,Breast cancer,Condition,Condition
35804537,11393,Carboplatin monotherapy,Regimen,Regimen,42542152,579,Cervical cancer,Condition,Condition
35804537,11393,Carboplatin monotherapy,Regimen,Regimen,42542163,593,Endometrial cancer,Condition,Condition
35804537,11393,Carboplatin monotherapy,Regimen,Regimen,42542193,623,Low-grade glioma,Condition,Condition
35804537,11393,Carboplatin monotherapy,Regimen,Regimen,42542214,645,Ovarian cancer,Condition,Condition
35804537,11393,Carboplatin monotherapy,Regimen,Regimen,42542239,671,Testicular cancer,Condition,Condition
35804537,11393,Carboplatin monotherapy,Regimen,Regimen,42542265,8259,BRCA Breast cancer,Condition,Condition
35804537,11393,Carboplatin monotherapy,Regimen,Regimen,42542421,53793,HRD Ovarian cancer,Condition,Condition
35804538,11480,Cisplatin and Ifosfamide,Regimen,Regimen,42542152,579,Cervical cancer,Condition,Condition
35804538,11480,Cisplatin and Ifosfamide,Regimen,Regimen,42542163,593,Endometrial cancer,Condition,Condition
35804539,11487,Cisplatin and Mitomycin,Regimen,Regimen,42542152,579,Cervical cancer,Condition,Condition
35804540,11505,Cisplatin and Paclitaxel (TP) and Bevacizumab,Regimen,Regimen,42542152,579,Cervical cancer,Condition,Condition
35804540,11505,Cisplatin and Paclitaxel (TP) and Bevacizumab,Regimen,Regimen,42542163,593,Endometrial cancer,Condition,Condition
35804541,11509,Cisplatin and Topotecan,Regimen,Regimen,42542152,579,Cervical cancer,Condition,Condition
35804542,11510,Ifosfamide monotherapy,Regimen,Regimen,42542152,579,Cervical cancer,Condition,Condition
35804542,11510,Ifosfamide monotherapy,Regimen,Regimen,42542162,589,Diffuse large B-cell lymphoma,Condition,Condition
35804542,11510,Ifosfamide monotherapy,Regimen,Regimen,42542163,593,Endometrial cancer,Condition,Condition
35804542,11510,Ifosfamide monotherapy,Regimen,Regimen,42542211,642,Non-small cell lung cancer,Condition,Condition
35804542,11510,Ifosfamide monotherapy,Regimen,Regimen,42542234,666,Small cell lung cancer,Condition,Condition
35804542,11510,Ifosfamide monotherapy,Regimen,Regimen,42542235,667,Soft tissue sarcoma,Condition,Condition
35804542,11510,Ifosfamide monotherapy,Regimen,Regimen,42542242,674,Thymoma,Condition,Condition
35804543,11553,Paclitaxel and Topotecan,Regimen,Regimen,42542152,579,Cervical cancer,Condition,Condition
35804544,11554,"Paclitaxel, Topotecan, Bevacizumab",Regimen,Regimen,42542152,579,Cervical cancer,Condition,Condition
35804545,11598,FULV,Regimen,Regimen,42542152,579,Cervical cancer,Condition,Condition
35804545,11598,FULV,Regimen,Regimen,42542153,580,Cholangiocarcinoma,Condition,Condition
35804545,11598,FULV,Regimen,Regimen,42542158,585,Colon cancer,Condition,Condition
35804545,11598,FULV,Regimen,Regimen,42542170,600,Gallbladder cancer,Condition,Condition
35804545,11598,FULV,Regimen,Regimen,42542171,601,Gastric cancer,Condition,Condition
35804545,11598,FULV,Regimen,Regimen,42542182,612,Hepatocellular carcinoma,Condition,Condition
35804545,11598,FULV,Regimen,Regimen,42542211,642,Non-small cell lung cancer,Condition,Condition
35804545,11598,FULV,Regimen,Regimen,42542217,648,Pancreatic cancer,Condition,Condition
35804545,11598,FULV,Regimen,Regimen,42542228,659,Rectal cancer,Condition,Condition
35804545,11598,FULV,Regimen,Regimen,42542324,46096,Colorectal cancer,Condition,Condition
35804557,11673,Capecitabine and Gemcitabine,Regimen,Regimen,42542153,580,Cholangiocarcinoma,Condition,Condition
35804557,11673,Capecitabine and Gemcitabine,Regimen,Regimen,42542170,600,Gallbladder cancer,Condition,Condition
35804557,11673,Capecitabine and Gemcitabine,Regimen,Regimen,42542217,648,Pancreatic cancer,Condition,Condition
35804557,11673,Capecitabine and Gemcitabine,Regimen,Regimen,42542242,674,Thymoma,Condition,Condition
35804559,11702,GemOx,Regimen,Regimen,42542153,580,Cholangiocarcinoma,Condition,Condition
35804559,11702,GemOx,Regimen,Regimen,42542170,600,Gallbladder cancer,Condition,Condition
35804559,11702,GemOx,Regimen,Regimen,42542182,612,Hepatocellular carcinoma,Condition,Condition
35804559,11702,GemOx,Regimen,Regimen,42542217,648,Pancreatic cancer,Condition,Condition
35804559,11702,GemOx,Regimen,Regimen,42542239,671,Testicular cancer,Condition,Condition
35804560,11716,Capecitabine and Mitomycin,Regimen,Regimen,42542153,580,Cholangiocarcinoma,Condition,Condition
35804560,11716,Capecitabine and Mitomycin,Regimen,Regimen,42542170,600,Gallbladder cancer,Condition,Condition
35804561,11730,Cisplatin and Gemcitabine (GC) and nab-Paclitaxel,Regimen,Regimen,42542153,580,Cholangiocarcinoma,Condition,Condition
35804561,11730,Cisplatin and Gemcitabine (GC) and nab-Paclitaxel,Regimen,Regimen,42542170,600,Gallbladder cancer,Condition,Condition
35804562,11737,ECF,Regimen,Regimen,905610,16419,Esophageal adenocarcinoma,Condition,Condition
35804562,11737,ECF,Regimen,Regimen,42542153,580,Cholangiocarcinoma,Condition,Condition
35804562,11737,ECF,Regimen,Regimen,42542165,595,Esophageal cancer,Condition,Condition
35804562,11737,ECF,Regimen,Regimen,42542170,600,Gallbladder cancer,Condition,Condition
35804562,11737,ECF,Regimen,Regimen,42542171,601,Gastric cancer,Condition,Condition
35804563,11750,FELV,Regimen,Regimen,42542153,580,Cholangiocarcinoma,Condition,Condition
35804563,11750,FELV,Regimen,Regimen,42542170,600,Gallbladder cancer,Condition,Condition
35804564,11751,FULV and Gemcitabine,Regimen,Regimen,42542153,580,Cholangiocarcinoma,Condition,Condition
35804564,11751,FULV and Gemcitabine,Regimen,Regimen,42542165,595,Esophageal cancer,Condition,Condition
35804564,11751,FULV and Gemcitabine,Regimen,Regimen,42542170,600,Gallbladder cancer,Condition,Condition
35804565,11758,"Gemcitabine, Cisplatin, S-1",Regimen,Regimen,42542153,580,Cholangiocarcinoma,Condition,Condition
35804565,11758,"Gemcitabine, Cisplatin, S-1",Regimen,Regimen,42542170,600,Gallbladder cancer,Condition,Condition
35804566,11760,Gemcitabine and Mitomycin,Regimen,Regimen,42542153,580,Cholangiocarcinoma,Condition,Condition
35804566,11760,Gemcitabine and Mitomycin,Regimen,Regimen,42542170,600,Gallbladder cancer,Condition,Condition
35804567,11761,Gemcitabine and nab-Paclitaxel,Regimen,Regimen,42542153,580,Cholangiocarcinoma,Condition,Condition
35804567,11761,Gemcitabine and nab-Paclitaxel,Regimen,Regimen,42542217,648,Pancreatic cancer,Condition,Condition
35804568,11787,GEMOX-B,Regimen,Regimen,42542153,580,Cholangiocarcinoma,Condition,Condition
35804568,11787,GEMOX-B,Regimen,Regimen,42542170,600,Gallbladder cancer,Condition,Condition
35804569,11801,Regorafenib monotherapy,Regimen,Regimen,1525079,60013,Clear cell renal cell carcinoma,Condition,Condition
35804569,11801,Regorafenib monotherapy,Regimen,Regimen,37557961,123676,KRAS Colorectal cancer,Condition,Condition
35804569,11801,Regorafenib monotherapy,Regimen,Regimen,42542153,580,Cholangiocarcinoma,Condition,Condition
35804569,11801,Regorafenib monotherapy,Regimen,Regimen,42542170,600,Gallbladder cancer,Condition,Condition
35804569,11801,Regorafenib monotherapy,Regimen,Regimen,42542171,601,Gastric cancer,Condition,Condition
35804569,11801,Regorafenib monotherapy,Regimen,Regimen,42542172,602,Gastrointestinal stromal tumor,Condition,Condition
35804569,11801,Regorafenib monotherapy,Regimen,Regimen,42542182,612,Hepatocellular carcinoma,Condition,Condition
35804569,11801,Regorafenib monotherapy,Regimen,Regimen,42542213,644,Osteosarcoma,Condition,Condition
35804569,11801,Regorafenib monotherapy,Regimen,Regimen,42542229,660,Renal cell carcinoma,Condition,Condition
35804569,11801,Regorafenib monotherapy,Regimen,Regimen,42542235,667,Soft tissue sarcoma,Condition,Condition
35804569,11801,Regorafenib monotherapy,Regimen,Regimen,42542324,46096,Colorectal cancer,Condition,Condition
35804569,11801,Regorafenib monotherapy,Regimen,Regimen,42542434,54053,Leiomyosarcoma,Condition,Condition
35804570,11825,Bendamustine and Rituximab (BR),Regimen,Regimen,912027,13940,MALT lymphoma,Condition,Condition
35804570,11825,Bendamustine and Rituximab (BR),Regimen,Regimen,42542154,581,Chronic lymphocytic leukemia,Condition,Condition
35804570,11825,Bendamustine and Rituximab (BR),Regimen,Regimen,42542157,584,Cold agglutinin disease,Condition,Condition
35804570,11825,Bendamustine and Rituximab (BR),Regimen,Regimen,42542162,589,Diffuse large B-cell lymphoma,Condition,Condition
35804570,11825,Bendamustine and Rituximab (BR),Regimen,Regimen,42542169,599,Follicular lymphoma,Condition,Condition
