c1_id,c1_code,c1_name,c1_domain,c1_class,c2_id,c2_code,c2_name,c2_domain,c2_class
905578,1091,AC-D,Regimen,Regimen,42542145,572,Breast cancer,Condition,Condition
905578,1091,AC-D,Regimen,Regimen,42542268,9391,ERBB2 Breast cancer,Condition,Condition
905579,1159,"Anastrozole, Lapatinib, Trastuzumab",Regimen,Regimen,905713,60431,ER|ERBB2 Breast cancer,Condition,Condition
905579,1159,"Anastrozole, Lapatinib, Trastuzumab",Regimen,Regimen,42542145,572,Breast cancer,Condition,Condition
905585,2683,Brexucabtagene autoleucel monotherapy,Regimen,Regimen,42542141,567,B-cell acute lymphoblastic leukemia,Condition,Condition
905585,2683,Brexucabtagene autoleucel monotherapy,Regimen,Regimen,42542195,625,Mantle cell lymphoma,Condition,Condition
905588,2822,"Carboplatin and Paclitaxel (CP) and Ipilimumab, Nivolumab",Regimen,Regimen,912089,25316,Non-small cell lung cancer squamous,Condition,Condition
905589,2834,"Carboplatin, Pemetrexed, Ipilimumab, Nivolumab",Regimen,Regimen,912088,25309,Non-small cell lung cancer nonsquamous,Condition,Condition
905591,4282,"Cisplatin, Pemetrexed, Ipilimumab, Nivolumab",Regimen,Regimen,912088,25309,Non-small cell lung cancer nonsquamous,Condition,Condition
905601,9613,"Cyclophosphamide, Etoposide, Methotrexate",Regimen,Regimen,37557545,121032,Acute lymphoblastic leukemia infant,Condition,Condition
905601,9613,"Cyclophosphamide, Etoposide, Methotrexate",Regimen,Regimen,37557960,123646,KMT2A Acute lymphoblastic leukemia infant,Condition,Condition
905602,9739,Dara-KRd,Regimen,Regimen,42542203,633,Multiple myeloma,Condition,Condition
905603,9752,Dara-Pd (SC daratumumab),Regimen,Regimen,42542203,633,Multiple myeloma,Condition,Condition
905605,12061,Cabazitaxel and Prednisolone,Regimen,Regimen,42542227,658,Prostate cancer,Condition,Condition
905606,14166,Carboplatin and Etoposide (CE) and Pembrolizumab,Regimen,Regimen,42542234,666,Small cell lung cancer,Condition,Condition
905611,16429,Cisplatin and Etoposide (EP) and Pembrolizumab,Regimen,Regimen,42542234,666,Small cell lung cancer,Condition,Condition
905614,18414,Letrozole and Trastuzumab,Regimen,Regimen,905713,60431,ER|ERBB2 Breast cancer,Condition,Condition
905614,18414,Letrozole and Trastuzumab,Regimen,Regimen,42542145,572,Breast cancer,Condition,Condition
905616,20997,"Doxorubicin, Pegaspargase, Vincristine, Prednisone",Regimen,Regimen,905651,32320,B-cell acute lymphoblastic leukemia pediatric,Condition,Condition
905617,22581,Dasatinib and Blinatumomab,Regimen,Regimen,42542141,567,B-cell acute lymphoblastic leukemia,Condition,Condition
905617,22581,Dasatinib and Blinatumomab,Regimen,Regimen,42542263,4770,BCR::ABL1 B-cell acute lymphoblastic leukemia,Condition,Condition
905624,29033,ACVBP (Methylprednisolone),Regimen,Regimen,42542162,589,Diffuse large B-cell lymphoma,Condition,Condition
905628,29622,Voxelotor monotherapy,Regimen,Regimen,42542233,665,Sickle cell anemia,Condition,Condition
905631,29719,Belzutifan monotherapy,Regimen,Regimen,905788,65176,VHL Renal cell carcinoma,Condition,Condition
905631,29719,Belzutifan monotherapy,Regimen,Regimen,1525079,60013,Clear cell renal cell carcinoma,Condition,Condition
905631,29719,Belzutifan monotherapy,Regimen,Regimen,42542229,660,Renal cell carcinoma,Condition,Condition
905634,29758,Amivantamab monotherapy,Regimen,Regimen,42542211,642,Non-small cell lung cancer,Condition,Condition
905634,29758,Amivantamab monotherapy,Regimen,Regimen,42542290,30910,EGFR Non-small cell lung cancer,Condition,Condition
905637,30279,Carboplatin and Dacarbazine,Regimen,Regimen,42542199,629,Melanoma,Condition,Condition
905638,31277,Copanlisib and Rituximab,Regimen,Regimen,42542169,599,Follicular lymphoma,Condition,Condition
905638,31277,Copanlisib and Rituximab,Regimen,Regimen,42542322,46094,Indolent lymphoma,Condition,Condition
905639,31766,AALL0932 delayed intensification,Regimen,Regimen,905651,32320,B-cell acute lymphoblastic leukemia pediatric,Condition,Condition
905640,31832,Abemaciclib and ET,Regimen,Regimen,42542145,572,Breast cancer,Condition,Condition
905640,31832,Abemaciclib and ET,Regimen,Regimen,42542266,8281,ER Breast cancer,Condition,Condition
905643,31855,Cyclophosphamide and Lomustine,Regimen,Regimen,42542234,666,Small cell lung cancer,Condition,Condition
905644,31879,"Cyclophosphamide, Lomustine, Procarbazine",Regimen,Regimen,42542234,666,Small cell lung cancer,Condition,Condition
905648,32008,DA 3+8,Regimen,Regimen,42542126,552,Acute myeloid leukemia,Condition,Condition
905649,32029,DA 3+8 and GO,Regimen,Regimen,42542126,552,Acute myeloid leukemia,Condition,Condition
905650,32042,Amsacrine and HiDAC,Regimen,Regimen,42542126,552,Acute myeloid leukemia,Condition,Condition
905652,32337,BAT,Regimen,Regimen,42542227,658,Prostate cancer,Condition,Condition
905655,32896,Capecitabine and Margetuximab,Regimen,Regimen,42542145,572,Breast cancer,Condition,Condition
905655,32896,Capecitabine and Margetuximab,Regimen,Regimen,42542268,9391,ERBB2 Breast cancer,Condition,Condition
905656,32952,CapeOx and Nivolumab,Regimen,Regimen,905610,16419,Esophageal adenocarcinoma,Condition,Condition
905656,32952,CapeOx and Nivolumab,Regimen,Regimen,42542171,601,Gastric cancer,Condition,Condition
905657,33026,Carboplatin and Gemcitabine (GCb) and Pembrolizumab,Regimen,Regimen,37558276,126044,Urothelial carcinoma,Condition,Condition
905657,33026,Carboplatin and Gemcitabine (GCb) and Pembrolizumab,Regimen,Regimen,42542145,572,Breast cancer,Condition,Condition
905657,33026,Carboplatin and Gemcitabine (GCb) and Pembrolizumab,Regimen,Regimen,42542269,9786,TNBC Breast cancer,Condition,Condition
905660,33152,"Carboplatin, Pemetrexed, Atezolizumab",Regimen,Regimen,912088,25309,Non-small cell lung cancer nonsquamous,Condition,Condition
905662,34029,Cisplatin and Temozolomide,Regimen,Regimen,42542199,629,Melanoma,Condition,Condition
905664,34079,"Cisplatin, Pemetrexed, Atezolizumab",Regimen,Regimen,912088,25309,Non-small cell lung cancer nonsquamous,Condition,Condition
905669,34981,Dostarlimab monotherapy,Regimen,Regimen,42542163,593,Endometrial cancer,Condition,Condition
905669,34981,Dostarlimab monotherapy,Regimen,Regimen,42542194,624,Mismatch repair deficient malignancy,Condition,Condition
905670,35089,"Doxorubicin, Methotrexate, Pegaspargase, Vincristine, Methylprednisolone",Regimen,Regimen,905651,32320,B-cell acute lymphoblastic leukemia pediatric,Condition,Condition
905670,35089,"Doxorubicin, Methotrexate, Pegaspargase, Vincristine, Methylprednisolone",Regimen,Regimen,905758,61964,T-cell acute lymphoblastic leukemia pediatric,Condition,Condition
905674,35482,Eribulin and Margetuximab,Regimen,Regimen,42542145,572,Breast cancer,Condition,Condition
905674,35482,Eribulin and Margetuximab,Regimen,Regimen,42542268,9391,ERBB2 Breast cancer,Condition,Condition
905675,35488,Eribulin and Trastuzumab,Regimen,Regimen,42542145,572,Breast cancer,Condition,Condition
905675,35488,Eribulin and Trastuzumab,Regimen,Regimen,42542268,9391,ERBB2 Breast cancer,Condition,Condition
905678,35698,Fluorouracil and Bevacizumab,Regimen,Regimen,42542324,46096,Colorectal cancer,Condition,Condition
905679,35877,Gemcitabine and Margetuximab,Regimen,Regimen,42542145,572,Breast cancer,Condition,Condition
905679,35877,Gemcitabine and Margetuximab,Regimen,Regimen,42542268,9391,ERBB2 Breast cancer,Condition,Condition
905684,36991,COG ANHL12P1 protocol,Regimen,Regimen,905620,25958,Anaplastic large cell lymphoma pediatric,Condition,Condition
905685,38053,EICNHL ALCL99 protocol,Regimen,Regimen,905620,25958,Anaplastic large cell lymphoma pediatric,Condition,Condition
905687,39672,FOLFIRINOX and Bevacizumab,Regimen,Regimen,42542324,46096,Colorectal cancer,Condition,Condition
905690,47461,Capecitabine and Vinflunine,Regimen,Regimen,42542145,572,Breast cancer,Condition,Condition
905692,48254,Ibrutinib and Ublituximab,Regimen,Regimen,42542154,581,Chronic lymphocytic leukemia,Condition,Condition
905695,50008,Hydroxyurea and Voxelotor,Regimen,Regimen,42542233,665,Sickle cell anemia,Condition,Condition
905696,50016,Idecabtagene vicleucel monotherapy,Regimen,Regimen,42542203,633,Multiple myeloma,Condition,Condition
905697,50217,Intraperitoneal hyperthermic oxaliplatin,Regimen,Regimen,42542324,46096,Colorectal cancer,Condition,Condition
905698,50222,Isa-Kd,Regimen,Regimen,42542203,633,Multiple myeloma,Condition,Condition
905701,53914,Loncastuximab tesirine monotherapy,Regimen,Regimen,37557215,112856,High-grade B-cell lymphoma,Condition,Condition
905701,53914,Loncastuximab tesirine monotherapy,Regimen,Regimen,42542162,589,Diffuse large B-cell lymphoma,Condition,Condition
905701,53914,Loncastuximab tesirine monotherapy,Regimen,Regimen,42542244,676,Transformed lymphoma,Condition,Condition
905703,58161,Melphalan and Dexamethasone,Regimen,Regimen,42542192,622,Light-chain (AL) amyloidosis,Condition,Condition
905703,58161,Melphalan and Dexamethasone,Regimen,Regimen,42542203,633,Multiple myeloma,Condition,Condition
905704,58219,Mercaptopurine and Vincristine,Regimen,Regimen,905651,32320,B-cell acute lymphoblastic leukemia pediatric,Condition,Condition
905705,58951,CapeOx and Trastuzumab,Regimen,Regimen,912153,43987,ERBB2 Gastric cancer,Condition,Condition
905705,58951,CapeOx and Trastuzumab,Regimen,Regimen,42542171,601,Gastric cancer,Condition,Condition
905707,59044,Cisplatin and Fluorouracil (CF) and Nivolumab,Regimen,Regimen,905580,1235,Esophageal squamous cell carcinoma,Condition,Condition
905708,59045,Cisplatin and Gemcitabine (GC) and Camrelizumab,Regimen,Regimen,42542208,639,Nasopharyngeal carcinoma,Condition,Condition
905709,59047,Cisplatin and Paclitaxel (TP) and Camrelizumab,Regimen,Regimen,905580,1235,Esophageal squamous cell carcinoma,Condition,Condition
905711,59255,mFOLFOX6 and Nivolumab,Regimen,Regimen,905610,16419,Esophageal adenocarcinoma,Condition,Condition
905711,59255,mFOLFOX6 and Nivolumab,Regimen,Regimen,42542171,601,Gastric cancer,Condition,Condition
905714,60435,Exemestane and Trastuzumab,Regimen,Regimen,905713,60431,ER|ERBB2 Breast cancer,Condition,Condition
905714,60435,Exemestane and Trastuzumab,Regimen,Regimen,42542145,572,Breast cancer,Condition,Condition
905715,60436,"Exemestane, Lapatinib, Trastuzumab",Regimen,Regimen,905713,60431,ER|ERBB2 Breast cancer,Condition,Condition
905715,60436,"Exemestane, Lapatinib, Trastuzumab",Regimen,Regimen,42542145,572,Breast cancer,Condition,Condition
905718,60901,Linsitinib monotherapy,Regimen,Regimen,42542172,602,Gastrointestinal stromal tumor,Condition,Condition
905719,60904,Lisocabtagene maraleucel monotherapy,Regimen,Regimen,37557215,112856,High-grade B-cell lymphoma,Condition,Condition
905719,60904,Lisocabtagene maraleucel monotherapy,Regimen,Regimen,42542154,581,Chronic lymphocytic leukemia,Condition,Condition
905719,60904,Lisocabtagene maraleucel monotherapy,Regimen,Regimen,42542162,589,Diffuse large B-cell lymphoma,Condition,Condition
905719,60904,Lisocabtagene maraleucel monotherapy,Regimen,Regimen,42542169,599,Follicular lymphoma,Condition,Condition
905719,60904,Lisocabtagene maraleucel monotherapy,Regimen,Regimen,42542195,625,Mantle cell lymphoma,Condition,Condition
905719,60904,Lisocabtagene maraleucel monotherapy,Regimen,Regimen,42542226,657,Primary mediastinal B-cell lymphoma,Condition,Condition
905719,60904,Lisocabtagene maraleucel monotherapy,Regimen,Regimen,42542244,676,Transformed lymphoma,Condition,Condition
905721,60940,nab-Paclitaxel and Pembrolizumab,Regimen,Regimen,42542145,572,Breast cancer,Condition,Condition
905721,60940,nab-Paclitaxel and Pembrolizumab,Regimen,Regimen,42542269,9786,TNBC Breast cancer,Condition,Condition
905722,61056,Paclitaxel and Pembrolizumab,Regimen,Regimen,42542145,572,Breast cancer,Condition,Condition
905722,61056,Paclitaxel and Pembrolizumab,Regimen,Regimen,42542269,9786,TNBC Breast cancer,Condition,Condition
905724,61088,Radioiodine and Selumetinib,Regimen,Regimen,1525125,65823,Thyroid cancer differentiated,Condition,Condition
905731,61163,Tepotinib monotherapy,Regimen,Regimen,912012,13094,MET Non-small cell lung cancer,Condition,Condition
905731,61163,Tepotinib monotherapy,Regimen,Regimen,42542211,642,Non-small cell lung cancer,Condition,Condition
905733,61178,Umbralisib monotherapy,Regimen,Regimen,42542169,599,Follicular lymphoma,Condition,Condition
905733,61178,Umbralisib monotherapy,Regimen,Regimen,42542196,626,Marginal zone lymphoma,Condition,Condition
905733,61178,Umbralisib monotherapy,Regimen,Regimen,42542322,46094,Indolent lymphoma,Condition,Condition
905734,61215,Imatinib and Peginterferon alfa-2a,Regimen,Regimen,42542155,582,Chronic myeloid leukemia,Condition,Condition
905739,61271,Iptacopan monotherapy,Regimen,Regimen,42542218,649,Paroxysmal nocturnal hemoglobinuria,Condition,Condition
905741,61307,Melphalan flufenamide and Dexamethasone,Regimen,Regimen,42542203,633,Multiple myeloma,Condition,Condition
905744,61492,V-BEAM,Regimen,Regimen,42542195,625,Mantle cell lymphoma,Condition,Condition
905748,61846,"Pegaspargase, Vincristine, Dexamethasone",Regimen,Regimen,905651,32320,B-cell acute lymphoblastic leukemia pediatric,Condition,Condition
905750,61853,IVE,Regimen,Regimen,42542234,666,Small cell lung cancer,Condition,Condition
905751,61894,KRdc,Regimen,Regimen,42542203,633,Multiple myeloma,Condition,Condition
905752,61898,Relugolix monotherapy,Regimen,Regimen,42542227,658,Prostate cancer,Condition,Condition
905753,61921,SDd,Regimen,Regimen,42542203,633,Multiple myeloma,Condition,Condition
905754,61930,SKd,Regimen,Regimen,42542203,633,Multiple myeloma,Condition,Condition
905761,62019,Vinorelbine and Margetuximab,Regimen,Regimen,42542145,572,Breast cancer,Condition,Condition
905761,62019,Vinorelbine and Margetuximab,Regimen,Regimen,42542268,9391,ERBB2 Breast cancer,Condition,Condition
905763,62373,PCG (Carboplatin),Regimen,Regimen,42542211,642,Non-small cell lung cancer,Condition,Condition
905764,62403,Pralsetinib monotherapy,Regimen,Regimen,912059,18383,RET Non-small cell lung cancer,Condition,Condition
905764,62403,Pralsetinib monotherapy,Regimen,Regimen,912060,18389,RET Thyroid cancer,Condition,Condition
905764,62403,Pralsetinib monotherapy,Regimen,Regimen,42542211,642,Non-small cell lung cancer,Condition,Condition
905764,62403,Pralsetinib monotherapy,Regimen,Regimen,42542243,675,Thyroid cancer,Condition,Condition
905766,62466,Selinexor monotherapy,Regimen,Regimen,42542162,589,Diffuse large B-cell lymphoma,Condition,Condition
905766,62466,Selinexor monotherapy,Regimen,Regimen,42542244,676,Transformed lymphoma,Condition,Condition
905766,62466,Selinexor monotherapy,Regimen,Regimen,42542435,54056,Liposarcoma,Condition,Condition
905767,62485,Sutimlimab monotherapy,Regimen,Regimen,42542157,584,Cold agglutinin disease,Condition,Condition
905768,62486,SVd,Regimen,Regimen,42542203,633,Multiple myeloma,Condition,Condition
905769,63414,Infigratinib monotherapy,Regimen,Regimen,42542153,580,Cholangiocarcinoma,Condition,Condition
905771,63490,Sotorasib monotherapy,Regimen,Regimen,42542211,642,Non-small cell lung cancer,Condition,Condition
905771,63490,Sotorasib monotherapy,Regimen,Regimen,42542217,648,Pancreatic cancer,Condition,Condition
905771,63490,Sotorasib monotherapy,Regimen,Regimen,42542433,54044,KRAS Non-small cell lung cancer,Condition,Condition
905774,64402,T-AC,Regimen,Regimen,42542145,572,Breast cancer,Condition,Condition
905774,64402,T-AC,Regimen,Regimen,42542269,9786,TNBC Breast cancer,Condition,Condition
905775,64403,T-EC,Regimen,Regimen,42542145,572,Breast cancer,Condition,Condition
905775,64403,T-EC,Regimen,Regimen,42542269,9786,TNBC Breast cancer,Condition,Condition
905781,65078,R-miniCHOP (SC Rituximab),Regimen,Regimen,42542162,589,Diffuse large B-cell lymphoma,Condition,Condition
905792,75620,SMF,Regimen,Regimen,42542217,648,Pancreatic cancer,Condition,Condition
905794,75633,Doxorubicin and Etoposide,Regimen,Regimen,42542145,572,Breast cancer,Condition,Condition
905810,76136,Doxorubicin and Sorafenib,Regimen,Regimen,42542182,612,Hepatocellular carcinoma,Condition,Condition
905822,76968,Capecitabine and Cisplatin (CX) and Cetuximab,Regimen,Regimen,905610,16419,Esophageal adenocarcinoma,Condition,Condition
905824,96875,Selumetinib monotherapy,Regimen,Regimen,905720,60907,Low-grade serous ovarian cancer,Condition,Condition
905824,96875,Selumetinib monotherapy,Regimen,Regimen,42542245,677,Uveal melanoma,Condition,Condition
905825,99554,Tivozanib monotherapy,Regimen,Regimen,1525079,60013,Clear cell renal cell carcinoma,Condition,Condition
905825,99554,Tivozanib monotherapy,Regimen,Regimen,42542229,660,Renal cell carcinoma,Condition,Condition
905828,60461,Cisplatin and Gemcitabine (GC) and Pembrolizumab,Regimen,Regimen,912089,25316,Non-small cell lung cancer squamous,Condition,Condition
905828,60461,Cisplatin and Gemcitabine (GC) and Pembrolizumab,Regimen,Regimen,37558276,126044,Urothelial carcinoma,Condition,Condition
905828,60461,Cisplatin and Gemcitabine (GC) and Pembrolizumab,Regimen,Regimen,42542142,569,Bladder cancer,Condition,Condition
905828,60461,Cisplatin and Gemcitabine (GC) and Pembrolizumab,Regimen,Regimen,42542153,580,Cholangiocarcinoma,Condition,Condition
911925,987,Capecitabine and Trastuzumab (XH) and Tucatinib,Regimen,Regimen,42542145,572,Breast cancer,Condition,Condition
911925,987,Capecitabine and Trastuzumab (XH) and Tucatinib,Regimen,Regimen,42542268,9391,ERBB2 Breast cancer,Condition,Condition
911926,1009,CapeOx and Erlotinib,Regimen,Regimen,42542324,46096,Colorectal cancer,Condition,Condition
911933,1316,FUOX and RT,Regimen,Regimen,42542228,659,Rectal cancer,Condition,Condition
911934,1354,Acalabrutinib and Obinutuzumab,Regimen,Regimen,42542154,581,Chronic lymphocytic leukemia,Condition,Condition
911937,3117,ADE and GO,Regimen,Regimen,905641,31848,Acute myeloid leukemia pediatric,Condition,Condition
911938,3245,Capmatinib monotherapy,Regimen,Regimen,912012,13094,MET Non-small cell lung cancer,Condition,Condition
911938,3245,Capmatinib monotherapy,Regimen,Regimen,42542211,642,Non-small cell lung cancer,Condition,Condition
911941,3623,Isa-Pd,Regimen,Regimen,42542203,633,Multiple myeloma,Condition,Condition
911954,4401,Cisplatin and Bevacizumab,Regimen,Regimen,42542145,572,Breast cancer,Condition,Condition
911954,4401,Cisplatin and Bevacizumab,Regimen,Regimen,42542269,9786,TNBC Breast cancer,Condition,Condition
911956,4407,Belantamab mafodotin monotherapy,Regimen,Regimen,42542203,633,Multiple myeloma,Condition,Condition
911979,4962,Daratumumab and hyaluronidase monotherapy,Regimen,Regimen,42542203,633,Multiple myeloma,Condition,Condition
911981,4974,"Daunorubicin, Pegaspargase, Vincristine, Prednisone, Dasatinib",Regimen,Regimen,905651,32320,B-cell acute lymphoblastic leukemia pediatric,Condition,Condition
911981,4974,"Daunorubicin, Pegaspargase, Vincristine, Prednisone, Dasatinib",Regimen,Regimen,1525204,75336,BCR::ABL1 B-cell acute lymphoblastic leukemia pediatric,Condition,Condition
911982,4983,"Daunorubicin, Pegaspargase, Vincristine, Prednisone, Imatinib",Regimen,Regimen,905651,32320,B-cell acute lymphoblastic leukemia pediatric,Condition,Condition
911982,4983,"Daunorubicin, Pegaspargase, Vincristine, Prednisone, Imatinib",Regimen,Regimen,1525204,75336,BCR::ABL1 B-cell acute lymphoblastic leukemia pediatric,Condition,Condition
911984,5442,Camrelizumab monotherapy,Regimen,Regimen,905580,1235,Esophageal squamous cell carcinoma,Condition,Condition
911984,5442,Camrelizumab monotherapy,Regimen,Regimen,42542182,612,Hepatocellular carcinoma,Condition,Condition
911984,5442,Camrelizumab monotherapy,Regimen,Regimen,42542184,614,Classical Hodgkin lymphoma,Condition,Condition
911987,5704,"Carboplatin, Pegylated liposomal doxorubicin, Bevacizumab",Regimen,Regimen,42542214,645,Ovarian cancer,Condition,Condition
911989,5960,"Cisplatin, Pemetrexed, RT",Regimen,Regimen,42542211,642,Non-small cell lung cancer,Condition,Condition
911992,6053,"Cobimetinib, Vemurafenib, Atezolizumab",Regimen,Regimen,42542199,629,Melanoma,Condition,Condition
911992,6053,"Cobimetinib, Vemurafenib, Atezolizumab",Regimen,Regimen,42542283,25811,BRAF Melanoma,Condition,Condition
911993,6472,Dara-RVd,Regimen,Regimen,42542203,633,Multiple myeloma,Condition,Condition
911994,6547,Dara-Kd,Regimen,Regimen,42542203,633,Multiple myeloma,Condition,Condition
911995,7161,Durvalumab and Tremelimumab,Regimen,Regimen,37558276,126044,Urothelial carcinoma,Condition,Condition
911995,7161,Durvalumab and Tremelimumab,Regimen,Regimen,42542182,612,Hepatocellular carcinoma,Condition,Condition
911995,7161,Durvalumab and Tremelimumab,Regimen,Regimen,42542211,642,Non-small cell lung cancer,Condition,Condition
911995,7161,Durvalumab and Tremelimumab,Regimen,Regimen,42542324,46096,Colorectal cancer,Condition,Condition
911997,7726,Emapalumab and Dexamethasone,Regimen,Regimen,42542179,609,Hemophagocytic lymphohistiocytosis,Condition,Condition
911998,7741,Encorafenib and Cetuximab,Regimen,Regimen,42542324,46096,Colorectal cancer,Condition,Condition
911998,7741,Encorafenib and Cetuximab,Regimen,Regimen,42542395,49837,BRAF Colorectal cancer,Condition,Condition
912002,11874,Amoxicillin and Omemprazole,Regimen,Regimen,912027,13940,MALT lymphoma,Condition,Condition
912003,12012,"Amoxicillin, Clarithromycin, PPI, Bismuth",Regimen,Regimen,912027,13940,MALT lymphoma,Condition,Condition
912005,12079,Ampicillin and Omeprazole,Regimen,Regimen,912027,13940,MALT lymphoma,Condition,Condition
912006,12277,"Ampicillin, Metronidazole, Bismuth",Regimen,Regimen,912027,13940,MALT lymphoma,Condition,Condition
912010,12873,Bendamustine and Dexamethasone,Regimen,Regimen,42542192,622,Light-chain (AL) amyloidosis,Condition,Condition
912013,13258,Olaparib and Bevacizumab,Regimen,Regimen,42542214,645,Ovarian cancer,Condition,Condition
912013,13258,Olaparib and Bevacizumab,Regimen,Regimen,42542421,53793,HRD Ovarian cancer,Condition,Condition
912018,13367,Pemigatinib monotherapy,Regimen,Regimen,42542153,580,Cholangiocarcinoma,Condition,Condition
912023,13673,Azacitidine oral monotherapy,Regimen,Regimen,42542126,552,Acute myeloid leukemia,Condition,Condition
912023,13673,Azacitidine oral monotherapy,Regimen,Regimen,42542204,634,Myelodysplastic syndrome,Condition,Condition
912024,13710,Sacituzumab govitecan monotherapy,Regimen,Regimen,37558276,126044,Urothelial carcinoma,Condition,Condition
912024,13710,Sacituzumab govitecan monotherapy,Regimen,Regimen,42542145,572,Breast cancer,Condition,Condition
912024,13710,Sacituzumab govitecan monotherapy,Regimen,Regimen,42542266,8281,ER Breast cancer,Condition,Condition
912024,13710,Sacituzumab govitecan monotherapy,Regimen,Regimen,42542269,9786,TNBC Breast cancer,Condition,Condition
912034,14236,Decitabine and cedazuridine monotherapy,Regimen,Regimen,42542156,583,Chronic myelomonocytic leukemia,Condition,Condition
912034,14236,Decitabine and cedazuridine monotherapy,Regimen,Regimen,42542204,634,Myelodysplastic syndrome,Condition,Condition
912037,14381,E-CMF,Regimen,Regimen,42542145,572,Breast cancer,Condition,Condition
912039,14570,FEC-D,Regimen,Regimen,42542145,572,Breast cancer,Condition,Condition
912039,14570,FEC-D,Regimen,Regimen,42542269,9786,TNBC Breast cancer,Condition,Condition
912042,14816,Lenalidomide and Tafasitamab,Regimen,Regimen,42542162,589,Diffuse large B-cell lymphoma,Condition,Condition
912042,14816,Lenalidomide and Tafasitamab,Regimen,Regimen,42542244,676,Transformed lymphoma,Condition,Condition
912048,15267,"Clarithromycin, Metronidzole, PPI",Regimen,Regimen,912027,13940,MALT lymphoma,Condition,Condition
912049,15343,"Clarithromycin, Tetracycline, PPI, Bismuth",Regimen,Regimen,912027,13940,MALT lymphoma,Condition,Condition
912058,18361,Dara-CyBorD,Regimen,Regimen,42542192,622,Light-chain (AL) amyloidosis,Condition,Condition
912061,18400,Ripretinib monotherapy,Regimen,Regimen,42542172,602,Gastrointestinal stromal tumor,Condition,Condition
912062,18504,Selpercatinib monotherapy,Regimen,Regimen,912059,18383,RET Non-small cell lung cancer,Condition,Condition
912062,18504,Selpercatinib monotherapy,Regimen,Regimen,912060,18389,RET Thyroid cancer,Condition,Condition
912062,18504,Selpercatinib monotherapy,Regimen,Regimen,1525154,68942,Thyroid cancer medullary,Condition,Condition
912062,18504,Selpercatinib monotherapy,Regimen,Regimen,37557222,114055,Malignant solid neoplasm RET-mutated,Condition,Condition
912062,18504,Selpercatinib monotherapy,Regimen,Regimen,42542211,642,Non-small cell lung cancer,Condition,Condition
912062,18504,Selpercatinib monotherapy,Regimen,Regimen,42542243,675,Thyroid cancer,Condition,Condition
912064,18685,nP-ddAC and Atezolizumab,Regimen,Regimen,42542145,572,Breast cancer,Condition,Condition
912064,18685,nP-ddAC and Atezolizumab,Regimen,Regimen,42542269,9786,TNBC Breast cancer,Condition,Condition
912069,18825,Thalidomide & Prednisone (TP),Regimen,Regimen,42542203,633,Multiple myeloma,Condition,Condition
912070,18840,Trifluridine and tipiracil and Bevacizumab,Regimen,Regimen,42542324,46096,Colorectal cancer,Condition,Condition
912073,19108,Vinorelbine and Trastuzumab (VH) and Everolimus,Regimen,Regimen,42542145,572,Breast cancer,Condition,Condition
912073,19108,Vinorelbine and Trastuzumab (VH) and Everolimus,Regimen,Regimen,42542268,9391,ERBB2 Breast cancer,Condition,Condition
912074,19199,TX-CEX,Regimen,Regimen,42542145,572,Breast cancer,Condition,Condition
912074,19199,TX-CEX,Regimen,Regimen,42542269,9786,TNBC Breast cancer,Condition,Condition
912076,20139,"Doxorubicin, L-asparaginase, Mercaptopurine, Vincristine, Prednisone",Regimen,Regimen,905758,61964,T-cell acute lymphoblastic leukemia pediatric,Condition,Condition
912077,20160,EC-D,Regimen,Regimen,42542145,572,Breast cancer,Condition,Condition
912077,20160,EC-D,Regimen,Regimen,42542269,9786,TNBC Breast cancer,Condition,Condition
912081,20326,Cisplatin and Gemcitabine (GC) and Atezolizumab,Regimen,Regimen,37558276,126044,Urothelial carcinoma,Condition,Condition
912082,20332,Carboplatin and Gemcitabine (GCb) and Atezolizumab,Regimen,Regimen,37558276,126044,Urothelial carcinoma,Condition,Condition
912086,21263,MAC,Regimen,Regimen,42542126,552,Acute myeloid leukemia,Condition,Condition
912097,25820,Stilbamidine and Urethane,Regimen,Regimen,42542203,633,Multiple myeloma,Condition,Condition
912098,25862,Tegafur and uracil monotherapy,Regimen,Regimen,912088,25309,Non-small cell lung cancer nonsquamous,Condition,Condition
912098,25862,Tegafur and uracil monotherapy,Regimen,Regimen,42542178,608,Head and neck cancer,Condition,Condition
912098,25862,Tegafur and uracil monotherapy,Regimen,Regimen,42542211,642,Non-small cell lung cancer,Condition,Condition
912104,26773,Lurbinectedin monotherapy,Regimen,Regimen,42542234,666,Small cell lung cancer,Condition,Condition
912106,26857,"Metronidazole, Tetracycline, PPI, Bismuth",Regimen,Regimen,912027,13940,MALT lymphoma,Condition,Condition
912107,26945,Naxitamab monotherapy,Regimen,Regimen,42542209,640,Neuroblastoma,Condition,Condition
912113,27986,Triptorelin and RT,Regimen,Regimen,42542227,658,Prostate cancer,Condition,Condition
912114,28020,Mitomycin pyelocalyceal monotherapy,Regimen,Regimen,912115,28039,Upper tract urothelial carcinoma,Condition,Condition
912118,32495,A-CHOP,Regimen,Regimen,42542221,652,Peripheral T-cell lymphoma,Condition,Condition
912132,32918,Cabozantinib and Nivolumab,Regimen,Regimen,1525079,60013,Clear cell renal cell carcinoma,Condition,Condition
912133,32955,CapIriRT,Regimen,Regimen,42542228,659,Rectal cancer,Condition,Condition
