concept_id,concept_name,concept_class_id,vocabulary_id,domain_id,concept_code,invalid_reason,valid_concept_id
35802928,Bortezomib,Component,HemOnc,Drug,75,,1336825
35802929,Bosutinib,Component,HemOnc,Drug,76,,42900401
35802930,Brentuximab vedotin,Component,HemOnc,Drug,77,,40241969
35802931,Brigatinib,Component,HemOnc,Drug,78,,1594187
35802932,Buparlisib,Component,HemOnc,Drug,79,,36849169
35802933,Busulfan,Component,HemOnc,Drug,80,,1333357
35802934,Cabazitaxel,Component,HemOnc,Drug,81,,40222431
35802935,Cabozantinib,Component,HemOnc,Drug,82,,43012292
35802936,Calaspargase,Component,HemOnc,Drug,83,,1510939
35802937,Calcium phosphate rinse,Component,HemOnc,Drug,84,,19037401
35802938,Cangrelor,Component,HemOnc,Drug,85,,46275677
35802939,Capecitabine,Component,HemOnc,Drug,86,,1337620
35802940,Caplacizumab,Component,HemOnc,Drug,87,,1366428
35802941,Carboplatin,Component,HemOnc,Drug,88,,1344905
35802942,Carfilzomib,Component,HemOnc,Drug,89,,42873638
35802943,Carmustine,Component,HemOnc,Drug,90,,1350066
35802944,Carmustine wafer polifeprosan 20,Component,HemOnc,Drug,91,,19074786
35802945,Caspofungin,Component,HemOnc,Drug,92,,1718054
35802946,Catumaxomab,Component,HemOnc,Drug,93,,36879077
35802947,Cediranib,Component,HemOnc,Drug,94,,36859905
35802948,Cemiplimab,Component,HemOnc,Drug,95,,35200783
35802949,Ceritinib,Component,HemOnc,Drug,96,,44818466
35802950,Cetirizine,Component,HemOnc,Drug,97,,1149196
35802951,Cetuximab,Component,HemOnc,Drug,98,,1315411
35802952,Chidamide,Component,HemOnc,Drug,99,,35884379
35802953,Chlorambucil,Component,HemOnc,Drug,100,,1390051
35802954,Chlorpheniramine,Component,HemOnc,Drug,101,,1192710
35802955,Cilostazol,Component,HemOnc,Drug,102,,1350310
35802956,Cimetidine,Component,HemOnc,Drug,103,,997276
35802957,Ciprofloxacin,Component,HemOnc,Drug,104,,1797513
35802958,Cisplatin,Component,HemOnc,Drug,105,,1397599
35802959,Cixutumumab,Component,HemOnc,Drug,106,,36849892
35802960,Cladribine,Component,HemOnc,Drug,107,,19054825
35802961,Clarithromycin,Component,HemOnc,Drug,108,,1750500
35802962,Clemastine,Component,HemOnc,Drug,109,,1197677
35802963,Clodronate,Component,HemOnc,Drug,110,,19024249
35802964,Clofarabine,Component,HemOnc,Drug,111,,19054821
35802965,Clopidogrel,Component,HemOnc,Drug,112,,1322184
35802966,Cobimetinib,Component,HemOnc,Drug,113,,35605804
35802967,Coltuximab ravtansine,Component,HemOnc,Drug,114,,36859613
35802968,Copanlisib,Component,HemOnc,Drug,115,,792499
35802969,Cortisone,Component,HemOnc,Drug,116,,1507705
35802970,Crenolanib,Component,HemOnc,Drug,117,,36859258
35802971,Crizanlizumab,Component,HemOnc,Drug,118,,37497670
35802972,Crizotinib,Component,HemOnc,Drug,119,,40242675
35802973,Custirsen,Component,HemOnc,Drug,120,,36859028
35802974,Cyanocobalamin,Component,HemOnc,Drug,121,,1308738
35802975,Cyclophosphamide,Component,HemOnc,Drug,122,,1310317
35802978,Cyproterone acetate,Component,HemOnc,Drug,125,,19010792
35802979,Cytarabine,Component,HemOnc,Drug,126,,1311078
35802981,Cytarabine liposomal,Component,HemOnc,Drug,128,,902730
35802982,Cytomegalovirus Immune Globulin,Component,HemOnc,Drug,129,,586491
35802983,Dabigatran,Component,HemOnc,Drug,130,,45775372
35802984,Dabrafenib,Component,HemOnc,Drug,131,,43532299
35802985,Dacarbazine,Component,HemOnc,Drug,132,,1311409
35802986,Dacomitinib,Component,HemOnc,Drug,133,,35200803
35802987,Dactinomycin,Component,HemOnc,Drug,134,,1311443
35802988,Dalteparin,Component,HemOnc,Drug,135,,1301065
35802989,Danaparoid,Component,HemOnc,Drug,136,,19026343
35802990,Danazol,Component,HemOnc,Drug,137,,1511449
35802991,Dapsone,Component,HemOnc,Drug,138,,1711759
35802992,Daratumumab,Component,HemOnc,Drug,139,,35605744
35802993,Darbepoetin alfa,Component,HemOnc,Drug,140,,1304643
35802994,Darolutamide,Component,HemOnc,Drug,141,,1361291
35802995,Dasatinib,Component,HemOnc,Drug,142,,1358436
35802996,Daunorubicin,Component,HemOnc,Drug,143,,1311799
35802997,Daunorubicin liposomal,Component,HemOnc,Drug,144,,1311799
35802998,Decitabine,Component,HemOnc,Drug,145,,19024728
35802999,Deferasirox,Component,HemOnc,Drug,146,,1786055
35803000,Deferiprone,Component,HemOnc,Drug,148,,19011091
35803001,Deferoxamine,Component,HemOnc,Drug,149,,1711947
35803002,Defibrotide,Component,HemOnc,Drug,150,,42898933
35803003,Degarelix,Component,HemOnc,Drug,151,,19058410
35803004,Denileukin diftitox,Component,HemOnc,Drug,152,,19051642
35803005,Denintuzumab mafodotin,Component,HemOnc,Drug,153,,36857901
35803006,Denosumab,Component,HemOnc,Drug,154,,40222444
35803007,Desmopressin,Component,HemOnc,Drug,155,,1517070
35803008,Dexamethasone,Component,HemOnc,Drug,156,,1518254
35803009,Dexchlorpheniramine,Component,HemOnc,Drug,157,,1188114
35803010,Dexrazoxane,Component,HemOnc,Drug,158,,1353011
35803011,Diethylstilbestrol,Component,HemOnc,Drug,159,,1525866
35803012,Dinaciclib,Component,HemOnc,Drug,160,,36851893
35803013,Dinutuximab,Component,HemOnc,Drug,161,,46221699
35803014,Diphenhydramine,Component,HemOnc,Drug,162,,1129625
35803015,Dipyridamole,Component,HemOnc,Drug,163,,1331270
35803016,Docetaxel,Component,HemOnc,Drug,164,,1315942
35803017,Docusate,Component,HemOnc,Drug,165,,941258
35803018,Dolasetron,Component,HemOnc,Drug,166,,903459
35803019,Domperidone,Component,HemOnc,Drug,167,,19037833
35803020,Dovitinib,Component,HemOnc,Drug,168,,36858161
35803021,Doxifluridine,Component,HemOnc,Drug,169,,43008996
35803022,Doxorubicin,Component,HemOnc,Drug,170,,1338512
35803023,Doxycycline,Component,HemOnc,Drug,171,,1738521
35803024,Dronabinol,Component,HemOnc,Drug,172,,1037005
35803025,Durvalumab,Component,HemOnc,Drug,173,,1594034
35803026,Dutasteride,Component,HemOnc,Drug,174,,989482
35803027,Duvelisib,Component,HemOnc,Drug,175,,35200763
35803028,Eculizumab,Component,HemOnc,Drug,176,,19080458
35803029,Edoxaban,Component,HemOnc,Drug,177,,45892847
35803030,Edrecolomab,Component,HemOnc,Drug,178,,19132294
35803031,Elotuzumab,Component,HemOnc,Drug,179,,35604032
35803032,Eltrombopag,Component,HemOnc,Drug,180,,19012346
35803033,Emicizumab,Component,HemOnc,Drug,181,,793042
35803034,Enasidenib,Component,HemOnc,Drug,182,,793797
35803035,Encorafenib,Component,HemOnc,Drug,183,,1559914
35803036,Enoxaparin,Component,HemOnc,Drug,184,,1301025
35803037,Ensartinib,Component,HemOnc,Drug,185,,36861459
35803038,Entinostat,Component,HemOnc,Drug,186,,36849819
35803039,Entospletinib,Component,HemOnc,Drug,187,,36853126
35803040,Entrectinib,Component,HemOnc,Drug,188,,37496447
35803041,Enzalutamide,Component,HemOnc,Drug,189,,42900250
35803042,Epinephrine autoinjector,Component,HemOnc,Drug,190,,1343916
35803043,Epirubicin,Component,HemOnc,Drug,191,,1344354
35803044,Epoetin alfa-epbx,Component,HemOnc,Drug,192,,1301125
35803045,Epoetin alfa,Component,HemOnc,Drug,193,,1301125
35803046,Epratuzumab,Component,HemOnc,Drug,194,,36850565
35803047,Eptifibatide,Component,HemOnc,Drug,195,,1322199
35803048,Erdafitinib,Component,HemOnc,Drug,196,,1511250
35803049,Eribulin,Component,HemOnc,Drug,197,,40230712
35803050,Erlotinib,Component,HemOnc,Drug,198,,1325363
35803051,Estradiol,Component,HemOnc,Drug,199,,1548195
35803052,Estramustine,Component,HemOnc,Drug,200,,1349025
35803053,Etoposide,Component,HemOnc,Drug,201,,1350504
35803054,Everolimus,Component,HemOnc,Drug,202,,19011440
35803055,Exemestane,Component,HemOnc,Drug,203,,1398399
35803056,Factor IX human,Component,HemOnc,Drug,204,,1351935
35803057,Factor IX recombinant,Component,HemOnc,Drug,205,,1351935
35803058,Factor IX recombinant Fc fusion protein,Component,HemOnc,Drug,206,,44818493
35803059,Factor VIII human,Component,HemOnc,Drug,207,,1352213
35803060,Factor VIII recombinant,Component,HemOnc,Drug,208,,1352213
35803061,Factor VIIa recombinant,Component,HemOnc,Drug,209,,1352141
35803062,Factor XIII concentrate human,Component,HemOnc,Drug,210,,19106100
35803063,Andexanet alfa,Component,HemOnc,Drug,211,,1510363
35803064,Famciclovir,Component,HemOnc,Drug,212,,1703603
35803065,Famotidine,Component,HemOnc,Drug,213,,953076
35803066,Ferric carboxymaltose,Component,HemOnc,Drug,214,,43560392
35803067,Ferric gluconate,Component,HemOnc,Drug,215,,1399177
35803068,Ferrous sulfate,Component,HemOnc,Drug,216,,1396131
35803069,Ferumoxytol,Component,HemOnc,Drug,217,,40163731
35803070,Filanesib,Component,HemOnc,Drug,218,,36854384
35803071,Filgrastim-sndz,Component,HemOnc,Drug,219,,1304850
35803072,Filgrastim,Component,HemOnc,Drug,220,,1304850
35803073,Finasteride,Component,HemOnc,Drug,221,,996416
35803074,Floxuridine,Component,HemOnc,Drug,222,,1355509
35803075,Fluconazole,Component,HemOnc,Drug,223,,1754994
35803076,Fludarabine,Component,HemOnc,Drug,224,,1395557
35803077,Fluorouracil,Component,HemOnc,Drug,225,,955632
35803078,Fluoxymesterone,Component,HemOnc,Drug,226,,1555887
35803079,Flutamide,Component,HemOnc,Drug,227,,1356461
35803080,Folic acid,Component,HemOnc,Drug,228,,19111620
35803081,Leucovorin,Component,HemOnc,Drug,229,,1388796
35803082,Fondaparinux,Component,HemOnc,Drug,230,,1315865
35803083,Formestane,Component,HemOnc,Drug,231,,19020079
35803084,Forodesine,Component,HemOnc,Drug,232,,36851323
35803085,Fosaprepitant,Component,HemOnc,Drug,233,,35605594
35803086,Fostamatinib,Component,HemOnc,Drug,234,,1510328
35803087,Fotemustine,Component,HemOnc,Drug,235,,36879099
35803088,Fruquintinib,Component,HemOnc,Drug,236,,747237
35803089,Fulvestrant,Component,HemOnc,Drug,237,,1304044
35803090,Furosemide,Component,HemOnc,Drug,238,,956874
35803091,Galeterone,Component,HemOnc,Drug,239,,36862778
35803092,Ganetespib,Component,HemOnc,Drug,240,,36850204
35803093,Ganitumab,Component,HemOnc,Drug,241,,36856365
35803094,Gefitinib,Component,HemOnc,Drug,242,,1319193
35803095,Gemcitabine,Component,HemOnc,Drug,243,,1314924
35803096,Gemtuzumab ozogamicin,Component,HemOnc,Drug,244,,42799711
35803097,Gilteritinib,Component,HemOnc,Drug,245,,1355513
35803098,Glasdegib,Component,HemOnc,Drug,246,,1355795
35803099,Glucarpidase,Component,HemOnc,Drug,247,,42709319
35803100,Goserelin,Component,HemOnc,Drug,248,,1366310
35803101,Granisetron,Component,HemOnc,Drug,249,,1000772
35803102,Guadecitabine,Component,HemOnc,Drug,252,,36850322
35803103,Haloperidol,Component,HemOnc,Drug,253,,766529
35803104,Hematopoetic progenitor cells cord blood,Component,HemOnc,Drug,254,,42899124
35803105,Heptaplatin,Component,HemOnc,Drug,255,,2100512
35803106,Histrelin,Component,HemOnc,Drug,256,,1366773
35803107,Magrolimab,Component,HemOnc,Drug,257,,36854780
35803108,Hydrocortisone,Component,HemOnc,Drug,258,,975125
35803109,Hydroxyurea,Component,HemOnc,Drug,259,,1377141
35803110,IPH-2101,Component,HemOnc,Drug,260,,36852522
35803111,Ibandronate,Component,HemOnc,Drug,261,,1512480
35803112,Ibritumomab tiuxetan,Component,HemOnc,Drug,262,,19068830
35803113,Ibrutinib,Component,HemOnc,Drug,263,,44507848
35803114,Icotinib,Component,HemOnc,Drug,264,,35884401
35803115,Idarubicin,Component,HemOnc,Drug,265,,19078097
35803116,Idarucizumab,Component,HemOnc,Drug,266,,35602981
35803117,Idelalisib,Component,HemOnc,Drug,267,,45776944
35803118,Ifosfamide,Component,HemOnc,Drug,268,,19078187
35803119,Imatinib,Component,HemOnc,Drug,269,,1304107
35803120,Imetelstat,Component,HemOnc,Drug,270,,1734581
35803121,Indomethacin,Component,HemOnc,Drug,271,,1178663
35803122,Infigratinib,Component,HemOnc,Drug,272,,1536975
35803123,Inotuzumab ozogamicin,Component,HemOnc,Drug,273,,794068
35803124,Interferon alfa-2a,Component,HemOnc,Drug,274,,1379969
35803125,Interferon alfa-2b,Component,HemOnc,Drug,275,,1380068
35803126,Interferon gamma-1b,Component,HemOnc,Drug,276,,1380191
35803127,Iodine-131,Component,HemOnc,Drug,277,,1780601
35803128,Ipatasertib,Component,HemOnc,Drug,278,,36852027
35803129,Ipilimumab,Component,HemOnc,Drug,279,,40238188
35803130,Irinotecan,Component,HemOnc,Drug,280,,1367268
35803131,Irinotecan liposome,Component,HemOnc,Drug,281,,902731
35803132,Iron dextran,Component,HemOnc,Drug,282,,1381661
35803133,Iron sucrose,Component,HemOnc,Drug,283,,1395773
35803134,Isatuximab,Component,HemOnc,Drug,284,,37498969
35803135,Isotretinoin,Component,HemOnc,Drug,285,,984232
35803136,Itraconazole,Component,HemOnc,Drug,286,,1703653
35803137,Ivosidenib,Component,HemOnc,Drug,287,,1560123
35803138,Ixabepilone,Component,HemOnc,Drug,288,,19025348
35803139,Ixazomib,Component,HemOnc,Drug,289,,35606214
35803140,Ketoconazole,Component,HemOnc,Drug,290,,985708
35803141,L-glutamine,Component,HemOnc,Drug,291,,19060985
35803142,Lactulose,Component,HemOnc,Drug,292,,987245
35803143,Lamivudine,Component,HemOnc,Drug,293,,1704183
35803144,Lanreotide,Component,HemOnc,Drug,294,,1503501
35803145,Lansoprazole,Component,HemOnc,Drug,295,,929887
35803146,Lapatinib,Component,HemOnc,Drug,296,,1359548
35803147,Lapuleucel-T,Component,HemOnc,Drug,297,,36858485
35803148,Larotrectinib,Component,HemOnc,Drug,298,,1355705
35803149,Lenalidomide,Component,HemOnc,Drug,299,,19026972
35803150,Lenograstim,Component,HemOnc,Drug,300,,19009705
35803151,Lenvatinib,Component,HemOnc,Drug,301,,46221433
35803152,Lepirudin,Component,HemOnc,Drug,302,,19092139
35803153,Lestaurtinib,Component,HemOnc,Drug,303,,36856704
35803154,Letrozole,Component,HemOnc,Drug,304,,1315946
35803155,Leuprolide,Component,HemOnc,Drug,305,,1351541
35803156,Levamisole,Component,HemOnc,Drug,306,,1389464
35803157,Levofloxacin,Component,HemOnc,Drug,307,,1742253
35803158,Levoleucovorin,Component,HemOnc,Drug,308,,40168303
35803159,Lipefilgrastim,Component,HemOnc,Drug,309,,44506753
35803161,Lomustine,Component,HemOnc,Drug,311,,1391846
35803162,Loperamide,Component,HemOnc,Drug,312,,991876
35803163,Lorazepam,Component,HemOnc,Drug,313,,791967
35803164,Lorlatinib,Component,HemOnc,Drug,314,,35201733
35803165,Lusutrombopag,Component,HemOnc,Drug,315,,35200302
35803166,Lutetium Lu 177 dotatate,Component,HemOnc,Drug,316,,36249974
35803168,Tafasitamab,Component,HemOnc,Drug,318,,37002368
35803169,Mannitol,Component,HemOnc,Drug,319,,994058
